theta_deg,torque_total_Nm,torque_drive_only_Nm,torque_stop_isolated_Nm
95.9000,-1.0305401947645731,-0.0007959360879205287,-1.0297442586766525
96.0000,-1.0480069777266856,-0.0008094265300886742,-1.047197551196597
96.1000,-1.0654737606887983,-0.0008229169722568196,-1.0646508437165414
96.2000,-1.0829405436509085,-0.0008364074144249634,-1.0821041362364836
96.3000,-1.100407326613019,-0.0008498978565931071,-1.0995574287564258
96.4000,-1.1178741095751292,-0.0008633882987612509,-1.117010721276368
96.5000,-1.1353408925372441,-0.000876878740929398,-1.1344640137963147
96.6000,-1.1528076754993544,-0.0008903691830975417,-1.1519173063162569
96.7000,-1.1702744584614648,-0.0009038596252656855,-1.169370598836199
96.8000,-1.1877412414235795,-0.0009173500674338327,-1.1868238913561457
96.9000,-1.2052080243856855,-0.000930840509601973,-1.2042771838760835
97.0000,-1.222674807347798,-0.0009443309517701184,-1.221730476396028
97.1000,-1.2401415903099107,-0.0009578213939382638,-1.2391837689159724
97.2000,-1.257608373272021,-0.0009713118361064076,-1.2566370614359146
97.3000,-1.2750751562341314,-0.0009848022782745513,-1.2740903539558568
97.4000,-1.292541939196246,-0.0009982927204426986,-1.2915436464758034
97.5000,-1.3100087221583543,-0.0010117831626108406,-1.3089969389957434
97.6000,-1.3274755051204667,-0.001025273604778986,-1.3264502315156879
97.7000,-1.3449422880825794,-0.0010387640469471315,-1.3439035240356323
97.8000,-1.3624090710446897,-0.0010522544891152753,-1.3613568165555745
97.9000,-1.3798758540068023,-0.0010657449312834206,-1.378810109075519
98.0000,-1.397342636968915,-0.0010792353734515661,-1.3962634015954634
98.1000,-1.4148094199310253,-0.00109272581561971,-1.4137166941154056
98.2000,-1.4322762028931357,-0.0011062162577878535,-1.4311699866353478
98.3000,-1.449742985855246,-0.0011197066999559973,-1.44862327915529
98.4000,-1.4672097688173609,-0.0011331971421241446,-1.4660765716752366
98.5000,-1.484676551779471,-0.0011466875842922881,-1.4835298641951788
98.6000,-1.5021433347415816,-0.001160178026460432,-1.500983156715121
98.7000,-1.5196101177036918,-0.0011736684686285757,-1.5184364492350633
98.8000,-1.5370769006658023,-0.0011871589107967195,-1.5358897417550055
98.9000,-1.5545436836279147,-0.0012006493529648648,-1.55334303427495
99.0000,-1.5720104665900274,-0.0012141397951330104,-1.5707963267948943
99.1000,-1.5894772495521376,-0.0012276302373011542,-1.5882496193148365
99.2000,-1.6069440325142503,-0.0012411206794692995,-1.605702911834781
99.3000,-1.6244108154763606,-0.0012546111216374433,-1.6231562043547232
99.4000,-1.641877598438471,-0.001268101563805587,-1.6406094968746654
99.5000,-1.6593443814005857,-0.0012815920059737341,-1.658062789394612
99.6000,-1.6768111643626962,-0.001295082448141878,-1.6755160819145543
99.7000,-1.6942779473248064,-0.0013085728903100217,-1.6929693744344965
99.8000,-1.7117447302869169,-0.0013220633324781655,-1.7104226669544387
99.9000,-1.729211513249027,-0.001335553774646309,-1.7278759594743809
100.0000,-1.746678296211142,-0.0013490442168144563,-1.7453292519943275
