theta_deg,torque_Nm
31.2500,0.007925634773784941
31.5000,0.007891908668364579
31.7500,0.007858182562944216
32.0000,0.007824456457523856
32.2500,0.007790730352103493
32.5000,0.007757004246683133
32.7500,0.007723278141262771
33.0000,0.0076895520358424094
33.2500,0.007655825930422048
33.5000,0.007622099825001687
33.7500,0.007588373719581326
34.0000,0.007554647614160964
34.2500,0.0075209215087406025
34.5000,0.007487195403320241
34.7500,0.007453469297899879
35.0000,0.007419743192479519
35.2500,0.0073860170870591576
35.5000,0.0073522909816387955
35.7500,0.007318564876218433
36.0000,0.007284838770798072
36.2500,0.007251112665377711
36.5000,0.00721738655995735
36.7500,0.007183660454536988
37.0000,0.007149934349116626
37.2500,0.007116208243696265
37.5000,0.007082482138275903
37.7500,0.007048756032855543
38.0000,0.0070150299274351815
38.2500,0.006981303822014819
38.5000,0.006947577716594457
38.7500,0.006913851611174096
39.0000,0.006880125505753736
39.2500,0.0068463994003333745
39.5000,0.006812673294913012
39.7500,0.00677894718949265
40.0000,0.006745221084072289
40.2500,0.006711494978651928
40.5000,0.006677768873231567
40.7500,0.006644042767811205
41.0000,0.006610316662390844
41.2500,0.006576590556970482
41.5000,0.00654286445155012
41.7500,0.006509138346129759
42.0000,0.0064754122407093976
42.2500,0.006441686135289036
42.5000,0.006407960029868674
42.7500,0.006374233924448313
43.0000,0.006340507819027953
43.2500,0.006306781713607591
43.5000,0.006273055608187229
43.7500,0.006239329502766868
44.0000,0.006205603397346506
44.2500,0.006171877291926145
44.5000,0.006138151186505783
44.7500,0.0061044250810854215
45.0000,0.00607069897566506
45.2500,0.006036972870244699
45.5000,0.006003246764824337
45.7500,0.005969520659403977
46.0000,0.005935794553983615
46.2500,0.005902068448563253
46.5000,0.005868342343142892
46.7500,0.005834616237722529
47.0000,0.005800890132302169
47.2500,0.0057671640268818075
47.5000,0.005733437921461445
47.7500,0.005699711816041084
48.0000,0.005665985710620723
48.2500,0.005632259605200362
48.5000,0.0055985334997800005
48.7500,0.005564807394359639
49.0000,0.005531081288939277
49.2500,0.005497355183518916
49.5000,0.005463629078098553
49.7500,0.005429902972678193
50.0000,0.0053961768672578314
50.2500,0.005362450761837469
50.5000,0.005328724656417108
50.7500,0.005294998550996747
51.0000,0.0052612724455763865
51.2500,0.0052275463401560245
51.5000,0.005193820234735663
51.7500,0.005160094129315302
52.0000,0.005126368023894939
52.2500,0.005092641918474579
52.5000,0.005058915813054217
52.7500,0.005025189707633855
53.0000,0.004991463602213494
53.2500,0.004957737496793132
53.5000,0.004924011391372771
53.7500,0.0048902852859524105
54.0000,0.004856559180532048
54.2500,0.004822833075111687
54.5000,0.004789106969691326
54.7500,0.004755380864270963
55.0000,0.004721654758850603
55.2500,0.0046879286534302405
55.5000,0.004654202548009879
55.7500,0.004620476442589518
56.0000,0.004586750337169156
56.2500,0.004553024231748796
56.5000,0.004519298126328434
56.7500,0.004485572020908073
57.0000,0.004451845915487711
57.2500,0.00441811981006735
57.5000,0.004384393704646988
57.7500,0.004350667599226626
58.0000,0.0043169414938062645
58.2500,0.004283215388385903
58.5000,0.004249489282965542
58.7500,0.004215763177545181
59.0000,0.00418203707212482
59.2500,0.0041483109667044575
59.5000,0.004114584861284096
59.7500,0.004080858755863735
60.0000,0.004047132650443374
60.2500,0.004013406545023012
60.5000,0.0039796804396026505
60.7500,0.003945954334182289
61.0000,0.003912228228761928
61.2500,0.0038785021233415672
61.5000,0.0038447760179212043
61.7500,0.003811049912500843
62.0000,0.0037773238070804823
62.2500,0.003743597701660121
62.5000,0.0037098715962397603
62.7500,0.0036761454908193973
63.0000,0.003642419385399036
